Description,Usecase Info,Sign,Accounted Amount,Original Amount,Original Currency,Rule Id,Rule version,Journal Reference,Event number,Event version,Transaction date,Accounting date,Accounting period,Posted to ledger,Document number,Original Document Number,Original Event Number,Original Event Version,Source document type,Source document reference,Transaction,Amount Type,Amount Sub Type,Amount Category,Difference Type,Issuance Date,Document Type,SubEntity Type,SubEntity Number,Journal Date,Degraded,Aggregation 1,Aggregation 2,Aggregation 3,Aggregation 4,Aggregation 5,Aggregation 6,Aggregation 7,Aggregation 8,Aggregation 9,Aggregation 10,Ledger account number,Destination Ledger Type,Cost Center,Journal Transaction Currency,Aggregated Journal Line ID
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746567,1,58883532#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57201465/6098592666,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,FEE,FMS,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,3304003240,GL,ARC,EUR2,7
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746567,1,58883581#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57211534/6098592665,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,FEE,FMS,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,3304003240,GL,ARC,EUR2,7
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,,INR2,387746567,1,58883532#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57201465/6098592666,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,FEE,FMS,NEGATIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,3304003240,GL,ARC,EUR2,8
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,,INR2,387746567,1,58883581#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,57211534/6098592665,,,,Sales Reporting Document,1AMSNL240720230834098,AGMEVA,FEE,FMS,NEGATIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,3304003240,GL,ARC,EUR2,8
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,15110.04,168.48,EUR2,387746089,1,59174590#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865362,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,2450.18,27.32,EUR2,387746089,1,59174587#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865338,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,1582.03,17.64,EUR2,387746089,1,59174583#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20242084/6409865356,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,4186.47,46.68,EUR2,387746089,1,59174589#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865358,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,8814.19,98.28,EUR2,387746089,1,59174586#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865337,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,33098.95,369.06,EUR2,387746672,1,59174582#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20200003/6495409054,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADD,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,15739.62,175.50,EUR2,387746089,1,59174591#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20263961/6409865350,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,15739.62,175.50,EUR2,387746089,1,59174588#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865357,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,2974.83,33.17,EUR2,387746089,1,59174585#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865336,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,DEBIT,2556.01,28.50,EUR2,387746089,1,59174584#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865333,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,BSP-FR,,EUR,,20230723,,,,,,1109003155,GL,,EUR2,9
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,4186.47,46.68,EUR2,387746089,1,59174589#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865358,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,8814.19,98.28,EUR2,387746089,1,59174586#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865337,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746660,1,59174582#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20200003/6495409054,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADD,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,33098.95,369.06,EUR2,387746672,1,59174582#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20200003/6495409054,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADD,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,15739.62,175.50,EUR2,387746089,1,59174591#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20263961/6409865350,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,15739.62,175.50,EUR2,387746089,1,59174588#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865357,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,2974.83,33.17,EUR2,387746089,1,59174585#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865336,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,2556.01,28.50,EUR2,387746089,1,59174584#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865333,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,15110.04,168.48,EUR2,387746089,1,59174590#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865362,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,2450.18,27.32,EUR2,387746089,1,59174587#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865338,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEBI-Agency Memo-AMS,AGENCY_MEMO_SETTLEMENT,CREDIT,1582.03,17.64,EUR2,387746089,1,59174583#0#0,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20242084/6409865356,,,,Sales Reporting Document,1PARFR240720231013098,AGMEBI,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,,EUR2,10
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,59174590#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865362,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,11
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,59174587#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865338,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,11
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,59174583#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20242084/6409865356,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,11
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,59174589#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865358,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,11
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,59174586#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865337,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,11
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,59174591#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20263961/6409865350,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,11
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,59174588#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865357,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,11
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,59174585#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865336,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,11
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,0.00,EUR2,387746563,1,59174584#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865333,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,REA,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003730,GL,ARC,EUR2,11
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746568,1,59174589#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865358,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,FEE,FCP,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746073,1,59174589#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865358,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746568,1,59174586#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865337,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,FEE,FCP,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746073,1,59174586#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865337,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746568,1,59174591#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20263961/6409865350,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,FEE,FCP,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746073,1,59174588#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865357,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746568,1,59174585#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865336,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,FEE,FCP,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746073,1,59174585#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865336,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746073,1,59174590#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865362,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746568,1,59174587#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865338,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,FEE,FCP,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746073,1,59174587#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865338,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,CREDIT,0.00,0.00,EUR2,387746073,1,59174583#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20242084/6409865356,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,POSITIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,12
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,,INR2,387746073,1,59174590#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865362,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,NEGATIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,13
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,,INR2,387746568,1,59174587#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865338,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,FEE,FCP,NEGATIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,13
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,,INR2,387746073,1,59174587#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20245396/6409865338,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,NEGATIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,13
AGMEVA-Agency Memo-AMI,AGENCY_MEMO_ISSUANCE,DEBIT,0.00,,INR2,387746073,1,59174583#0#1,0,0,20230724,20230724,7,202307241230_LedBatch_ADM,20242084/6409865356,,,,Sales Reporting Document,1PARFR240720231013098,AGMEVA,TAX,,NEGATIVE_REFERENCE,NOT_AVAILABLE,,ADM,ADM_ACM,,20230724,N,1901,,,,,,,,,,1109003736,GL,ARC,EUR2,13
